S.No.,State Code,State Name,District Code,District Name,Sub-district Code,Sub-district Version,Sub-district Name,Census 2001 code,Census 2011 code
116,32,KERALA,555,ERNAKULAM,5658,1,Aluva,2,05658
117,36,TELANGANA,700,MEDCHAL MALKAJGIRI,6328,1,Alwal,,00000
118,8,RAJASTHAN,87,ALWAR,499,4,Alwar,7,00499
119,28,ANDHRA PRADESH,502,ANANTAPUR,5361,1,Amadagur,58,05361
120,28,ANDHRA PRADESH,519,SRIKAKULAM,4798,1,Amadalavalasa,30,04798
121,13,NAGALAND,614,KIPHIRE,1836,1,Amahator,14,01836
122,28,ANDHRA PRADESH,505,EAST GODAVARI,4941,1,Amalapuram,57,04941
123,27,MAHARASHTRA,478,JALGAON,3969,1,Amalner,10,03969
124,36,TELANGANA,518,RANGA REDDY,4563,3,Amangal,15,04563
125,23,MADHYA PRADESH,420,PANNA,3439,1,Amanganj,0,03439
126,28,ANDHRA PRADESH,502,ANANTAPUR,5351,1,Amarapuram,48,05351
127,28,ANDHRA PRADESH,506,GUNTUR,5052,1,Amaravathi,13,05052
128,36,TELANGANA,693,WANAPARTHY,6290,1,Amarchintha,,00000
129,3,PUNJAB,737,MALERKOTLA,7122,5,Amargarh,,00000
130,9,UTTAR PRADESH,173,PILIBHIT,6867,3,Amariya,,00000
131,23,MADHYA PRADESH,426,SATNA,3468,1,Amarpatan,5,03468
132,16,TRIPURA,654,Gomati,6695,1,Amarpur,2,00000
133,10,BIHAR,190,BANKA,1346,1,Amarpur,2,01346
134,23,MADHYA PRADESH,399,CHHINDWARA,3648,1,Amarwara,2,03648
135,10,BIHAR,196,GAYA,1499,1,Amas,13,01499
136,2,HIMACHAL PRADESH,26,UNA,148,13,Amb,2,00148
137,21,ODISHA,347,BARGARH,2768,1,Ambabhona,13,02768
138,27,MAHARASHTRA,479,JALNA,4129,1,Ambad,5,04129
139,21,ODISHA,370,RAYAGADA,3172,1,Ambadala,1,03172
140,22,CHHATTISGARH,388,RAJNANDGAON,3310,1,Ambagarh,8,03310
141,23,MADHYA PRADESH,417,MORENA,3385,1,Ambah,1,03385
142,28,ANDHRA PRADESH,505,EAST GODAVARI,4935,1,Ambajipeta,51,04935
143,6,HARYANA,58,AMBALA,359,5,Ambala,2,00359
144,6,HARYANA,58,AMBALA,6406,1,Ambala Cantonment,,00000
145,32,KERALA,554,ALAPPUZHA,5674,1,Ambalappuzha,2,05674
146,27,MAHARASHTRA,497,THANE,4170,1,Ambarnath,14,04170
147,33,TAMIL NADU,592,TIRUNELVELI,5878,5,Ambasamudram,9,05878
148,16,TRIPURA,269,Dhalai,6697,1,Ambassa,3,00000
149,33,TAMIL NADU,568,CHENNAI,5700,4,Ambattur,8,05700
150,27,MAHARASHTRA,490,PUNE,4188,1,Ambegaon,2,04188
151,27,MAHARASHTRA,470,BEED,4225,1,Ambejogai,11,04225
152,8,RAJASTHAN,102,JAIPUR,547,1,Amber,10,00547
153,36,TELANGANA,507,HYDERABAD,4502,1,Amberpet,7,04502
