Local Body Code,Local Body Version,Local Body Name (IN English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Intermediate/Block Panchayat Code,District Panchayat Code,State Code,State Name (In English)
283942,2,Chisim Apal,,22,Village Employment Council,291863,0,17,MEGHALAYA
283853,2,Chisimari,,22,Village Employment Council,291864,0,17,MEGHALAYA
283774,2,Chisim Chirotgre,,22,Village Employment Council,292103,0,17,MEGHALAYA
283775,2,Chisim jaropa,,22,Village Employment Council,292103,0,17,MEGHALAYA
283745,2,Chisim Mandalpang,,22,Village Employment Council,291863,0,17,MEGHALAYA
285531,2,Chisimpara,,22,Village Employment Council,291721,0,17,MEGHALAYA
283776,2,Chisim Rombagre,,22,Village Employment Council,291863,0,17,MEGHALAYA
282316,2,Chismokgre,,22,Village Employment Council,291964,0,17,MEGHALAYA
282355,1,Chismokgre,,22,Village Employment Council,0,0,17,MEGHALAYA
284642,2,Chisobibra,Chisobibra,22,Village Employment Council,291865,0,17,MEGHALAYA
283046,2,Chisregre,,22,Village Employment Council,291867,0,17,MEGHALAYA
284824,2,Chisrenggre,,22,Village Employment Council,293793,0,17,MEGHALAYA
283955,2,Chitambu,,22,Village Employment Council,291710,0,17,MEGHALAYA
284014,2,Chitil Apal,,22,Village Employment Council,291696,0,17,MEGHALAYA
284959,2,Chitimgre,,22,Village Employment Council,292769,0,17,MEGHALAYA
286386,2,Chitokgre,,22,Village Employment Council,292493,0,17,MEGHALAYA
285107,2,Chitompagre,,22,Village Employment Council,291991,0,17,MEGHALAYA
285095,2,Chittilonggiri,,22,Village Employment Council,291950,0,17,MEGHALAYA
283949,2,Chitukdadram,,22,Village Employment Council,291710,0,17,MEGHALAYA
283928,2,Chitukona Garo,,22,Village Employment Council,291868,0,17,MEGHALAYA
283929,2,Chitukona Rabha,,22,Village Employment Council,291850,0,17,MEGHALAYA
284241,2,Chiwa Adapgittim,,22,Village Employment Council,291648,0,17,MEGHALAYA
284276,2,Chiwaki,,22,Village Employment Council,293721,0,17,MEGHALAYA
282821,2,Chiwatgre,,22,Village Employment Council,291869,0,17,MEGHALAYA
282822,2,Chokagre,,22,Village Employment Council,291869,0,17,MEGHALAYA
282162,2,Chokchakia,,22,Village Employment Council,291870,0,17,MEGHALAYA
288686,2,Chokdenggre,,22,Village Employment Council,293713,0,17,MEGHALAYA
285285,2,Choklokgittim,,22,Village Employment Council,293276,0,17,MEGHALAYA
282339,2,Chokonggre,,22,Village Employment Council,291797,0,17,MEGHALAYA
284836,2,Chokpot Bazar,,22,Village Employment Council,291871,0,17,MEGHALAYA
284853,2,Chokpotgre,,22,Village Employment Council,291871,0,17,MEGHALAYA
283409,2,Chollongpara,,22,Village Employment Council,291872,0,17,MEGHALAYA
283614,2,Chollongpara,,22,Village Employment Council,293723,0,17,MEGHALAYA
282871,2,Chondon Noket,,22,Village Employment Council,291873,0,17,MEGHALAYA
282924,2,Chondonpara,,22,Village Employment Council,291873,0,17,MEGHALAYA
284633,2,Chonggigre,,22,Village Employment Council,292206,0,17,MEGHALAYA
283465,2,Chongnapara,,22,Village Employment Council,291874,0,17,MEGHALAYA
283524,2,Chongpot Dopogre,,22,Village Employment Council,291916,0,17,MEGHALAYA
283361,2,Chongpotgre,,22,Village Employment Council,291875,0,17,MEGHALAYA
283592,2,Chongpot Mrong,,22,Village Employment Council,291916,0,17,MEGHALAYA
283164,2,Chopapara,,22,Village Employment Council,291876,0,17,MEGHALAYA
