S.No.,Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,Block Code,Block Name,District Census 2011 Code,District Code,District Name,Localbody Code,Localbody Name,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,State Name,Subdistrict Census 2011 Code,Subdistrict Code,Subdistrict Name,Village Census 2011 Code,Village Code,Village Name
6922,4011,181,Thirumayam,6266,ARIMALAM,621,582,PUDUKKOTTAI,226737,Thekkattur,528,33,Sivaganga,TAMIL NADU,05822,5822,Thirumayam,639462,639462,Thekkattur
6923,4081,77,Ulundurpettai,6468,THIRUVENNAINALLUR,607,596,VILLUPURAM,233683,THENMANGALAM,540,,Viluppuram,TAMIL NADU,00000,7053,THIRUVENNAINALLUR,633592,633592,Kooranur
6924,3944,138,Manapparai,6375,MARUNGAPURI,614,591,TIRUCHIRAPPALLI,230230,A.Pudupatti,517,26,Karur,TAMIL NADU,00000,5954,MARUNGAPURI,636099,636099,Ayanpudupatti
6925,3864,68,Cheyyar,6407,CHEYYAR,606,593,TIRUVANNAMALAI,231098,Arumparuthi,504,,Arani,TAMIL NADU,05722,5722,Cheyyar,631322,631322,Arumparuthi
6926,4075,46,Gudiyattam,6437,GUDIYATTAM,605,595,VELLORE,232333,Perumbadi,539,7,Vellore,TAMIL NADU,05712,5712,Gudiyatham,630297,630297,Perumbadi
6927,3866,71,Mailam,6464,OLAKKUR,607,596,VILLUPURAM,233492,URAL,504,,Arani,TAMIL NADU,05729,5729,Tindivanam,632566,632566,Ural
6928,3971,94,Namakkal,6246,NAMAKKAL,609,580,NAMAKKAL,226152,VITTAMANAICKENPATTI,522,,Namakkal,TAMIL NADU,05747,5747,Namakkal,634647,634647,Veesanam
6929,3868,69,Vandavasi,6418,VANDAVASI,606,593,TIRUVANNAMALAI,231618,Elangadu,504,,Arani,TAMIL NADU,05723,5723,Vandavasi,631518,631518,Elangadu
6930,3858,42,Arcot,6449,TIMIRI,000,731,Ranipet,232820,Valaiyathur,503,6,Arakkonam,TAMIL NADU,00000,7059,Kalavai,630753,630753,Valaiyathur
6931,3995,183,Aranthangi,6265,ARANTANGI,621,582,PUDUKKOTTAI,226670,Egaperumalur,526,34,Ramanathapuram,TAMIL NADU,05826,5826,Aranthangi,639780,639780,Ekapperumalur
6932,4045,139,Srirangam,6370,ANDANALLUR,614,591,TIRUCHIRAPPALLI,230086,Kodiyalam,534,27,Tiruchirappalli,TAMIL NADU,05778,5778,Srirangam,635971,635971,Kadiyakurichy
6933,3986,145,Musiri,6380,THOTTIAM,614,591,TIRUCHIRAPPALLI,230406,Periyapallipalayam,524,28,Perambalur,TAMIL NADU,05773,5773,Thottiyam,635678,635678,Periapallipalayam
6934,3860,41,Ranipet,6436,ARCOT,000,731,Ranipet,232266,Anathangal,503,6,Arakkonam,TAMIL NADU,05714,5714,Wallajah,630523,630523,Arapakkam
6935,4088,196,Thirumangalam,6224,TIRUMANGALAM,623,578,MADURAI,225437,NADUKOTTAI,541,,Virudhunagar,TAMIL NADU,05840,5840,Thirumangalam,640966,640966,Giriyagoundanpatti
6936,3928,83,Yercaud,6289,AYODHIYAPATTINAM,608,584,SALEM,227572,Kootathupatti,514,,Kallakurichi,TAMIL NADU,05742,5742,Vazhapadi,634176,634176,Kuttathipatti
6937,4075,46,Gudiyattam,6437,GUDIYATTAM,605,595,VELLORE,232344,Ulli,539,7,Vellore,TAMIL NADU,05712,5712,Gudiyatham,630339,630339,Ulli
6938,3971,94,Namakkal,6249,PUDUCHATRAM,609,580,NAMAKKAL,226201,Pappinaickenpatti,522,,Namakkal,TAMIL NADU,05747,5747,Namakkal,634635,634635,Pappinayakkanpatti
6939,3922,100,Modakurichi,6166,MODAKURICHI,610,573,ERODE,223750,46 PUDUR,513,,Erode,TAMIL NADU,00000,6636,Modakkurichi,635041,635041,Pudur
6940,3863,67,Arani,6420,WEST ARANI,606,593,TIRUVANNAMALAI,231736,Andipalayam,504,,Arani,TAMIL NADU,05721,5721,Arani,631181,631181,Vannankulam
6941,3948,55,Hosur,6206,HOSUR,631,577,KRISHNAGIRI,224820,Baliganapalli,518,14,Krishnagiri,TAMIL NADU,05890,5890,Hosur,643712,643712,Alur
6942,4076,45,Kilvaithinankuppam,6437,GUDIYATTAM,605,595,VELLORE,232329,Olakasi,539,7,Vellore,TAMIL NADU,05712,5712,Gudiyatham,630345,630345,Olakasi
6943,4083,75,Vikravandi,6457,KANAI,607,596,VILLUPURAM,233114,NALLAPALAYAM,540,,Viluppuram,TAMIL NADU,00000,5978,Vikravandi,632816,632816,Nallapalayam
6944,3949,53,Krishnagiri,6209,KRISHNAGIRI,631,577,KRISHNAGIRI,224923,Kondepalli,518,14,Krishnagiri,TAMIL NADU,05891,5891,Krishnagiri,643944,643944,Kondepalli
6945,3863,67,Arani,6420,WEST ARANI,606,593,TIRUVANNAMALAI,231744,Kattukanallur,504,,Arani,TAMIL NADU,05721,5721,Arani,631164,631164,Kattukanallur
6946,3985,144,Manachanallur,6372,MANACHANELLUR,614,591,TIRUCHIRAPPALLI,230159,Kiliyanallur,524,28,Perambalur,TAMIL NADU,05776,5776,Manachanallur,635865,635865,Killiyanallur (North)
