Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,Block Code,Block Name,District Census 2011 Code,District Code,District Name,Localbody Code,Localbody Name,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,State Name,Subdistrict Census 2011 Code,Subdistrict Code,Subdistrict Name,Village Census 2011 Code,Village Code,Village Name
3665,124,Mudigere,5802,CHIKKAMAGALURU,570,532,CHIKKAMAGALURU,216794,BASKAL,478,18,Udupi Chikkamagaluru,KARNATAKA,05530,5530,Chikkamagaluru,609842,609842,Halasumane,
3591,195,Belur,5848,ARSIKERE,574,539,HASSAN,218273,KOLAGUNDA,469,19,Hassan,KARNATAKA,05555,5555,Arsikere,615487,615487,Mavuthanahalli,
3565,109,Channagiri,5820,CHANNAGIRI,567,535,DAVANGERE,217441,MALLAPURA,466,6,Davanagere,KARNATAKA,05514,5514,Channagiri,606978,606978,Alur,
3617,59,Maski,5894,LINGSUGUR,559,546,RAICHUR,219730,SANTHEKALLUR,472,4,Koppal,KARNATAKA,05459,5459,Lingsugur,600437,600437,Gonwar,
3565,109,Channagiri,5820,CHANNAGIRI,567,535,DAVANGERE,217451,PANDOMATTI,466,6,Davanagere,KARNATAKA,05514,5514,Channagiri,607086,607086,Pandomatti,
3617,59,Maski,5895,MANVI,559,546,RAICHUR,219762,PAMANAKALLUR,472,4,Koppal,KARNATAKA,05462,5462,Manvi,600899,600899,Gudihal,
3510,52,Aurad,5788,AURAD,558,529,BIDAR,216323,MURKI,459,1,Bidar,KARNATAKA,05456,5456,Aurad,599995,599995,Hakyal,
3621,211,Krishnarajanagara,5888,KRISHNARAJANAGARA,577,545,MYSURU,219512,HOSAAGRAHARA,473,14,Mandya,KARNATAKA,05571,5571,Krishnarajanagara,618576,618576,Haramballi,
3552,102,Holalkere,5810,CHITRADURGA,566,533,CHITRADURGA,217052,ALAGAVADI,464,7,Chitradurga,KARNATAKA,05505,5505,Chitradurga,000000,927135,HALAVUDARA LAMBANIHATTI,
3589,198,Arkalgud,5847,ARKALGUD,574,539,HASSAN,218244,YALAGATHAVALLI,469,19,Hassan,KARNATAKA,05558,5558,Arkalgud,616659,616659,Mallithammanahalli,
3593,197,Holenarasipur,5852,HOLENARSIPUR,574,539,HASSAN,218424,MALLAPPANAHALLI,469,19,Hassan,KARNATAKA,05559,5559,Hole Narsipur,616924,616924,Mallappanahalli,
3521,32,Indi,5795,INDI,557,530,VIJAYAPURA,216561,BASANAL,460,28,Vijayapura,KARNATAKA,05450,5450,Indi,599235,599235,Basanal,
3639,55,Manvi,5895,MANVI,559,546,RAICHUR,219765,SANGAPUR,475,3,Raichur,KARNATAKA,05462,5462,Manvi,600992,600992,Naslapur,
3618,58,Sindhanur,5897,SINDHANUR,559,546,RAICHUR,219806,BHOOTALADINNI,472,4,Koppal,KARNATAKA,05463,5463,Sindhnur,601194,601194,Hosalapur,
3589,198,Arkalgud,5852,HOLENARSIPUR,574,539,HASSAN,218431,SRAVANUR,469,19,Hassan,KARNATAKA,05559,5559,Hole Narsipur,617017,617017,Uddinabore Kaval,
3528,213,Heggadadevankote,5886,HEGGADADEVANKOTE,577,545,MYSURU,219440,BEECHANAHALLI,461,15,Chamarajanagar,KARNATAKA,05573,5573,Heggadadevankote,619025,619025,Beechanahalli,
3593,197,Holenarasipur,5851,HASSAN,574,539,HASSAN,218395,MOSALEHOSAHALLI,469,19,Hassan,KARNATAKA,05556,5556,Hassan,616150,616150,Kurubarahalli,
3623,187,Maddur,5880,MADDUR,573,544,MANDYA,219250,GEJJALAGERE,473,14,Mandya,KARNATAKA,05551,5551,Maddur,614583,614583,Gejjalagere,
3589,198,Arkalgud,5852,HOLENARSIPUR,574,539,HASSAN,218422,KYATHANAHALLI,469,19,Hassan,KARNATAKA,05559,5559,Hole Narsipur,616962,616962,Hadya,
3618,58,Sindhanur,5897,SINDHANUR,559,546,RAICHUR,219818,JAVALGERA,472,4,Koppal,KARNATAKA,05463,5463,Sindhnur,601149,601149,Jangamerhatti (A),
3476,153,Yeshvanthapura,5762,BENGALURU SOUTH,572,525,BENGALURU URBAN,215381,H.GOLLAHALLI,454,12,Bengaluru North,KARNATAKA,05543,5543,Bengaluru South,000000,924175,H.GOLLAHALLI,
3607,148,Kolar,5870,KOLAR,581,542,KOLAR,218939,KONDARAJANAHALLI,471,10,Kolar,KARNATAKA,05591,5591,Kolar,622012,622012,Kadripura,
3609,149,Malur,5871,MALUR,581,542,KOLAR,218964,CHICKKAKUNTUR,471,10,Kolar,KARNATAKA,05592,5592,Malur,622377,622377,Nidaramangala,
3528,213,Heggadadevankote,5886,HEGGADADEVANKOTE,577,545,MYSURU,219439,B.MATAKERE,461,15,Chamarajanagar,KARNATAKA,05573,5573,Heggadadevankote,619055,619055,KALLAHALLA,
3530,214,Nanjangud,5890,NANJANGUD,577,545,MYSURU,219599,NAVILURU,461,15,Chamarajanagar,KARNATAKA,05574,5574,Nanjangud,000000,927410,HOSAPURAA,
3504,89,Hagaribommanahalli,5785,KUDLIGI,565,528,BALLARI,216236,KANDAGALLU,458,5,Ballari,KARNATAKA,05502,5502,Kudligi,605054,605054,Thimmalapura,
3619,92,Siruguppa,5787,SIRUGUPPA,565,528,BALLARI,216271,BEERAHALLI,472,4,Koppal,KARNATAKA,05499,5499,Siruguppa,604817,604817,Beerahalli,
3593,197,Holenarasipur,5852,HOLENARSIPUR,574,539,HASSAN,218419,KATTEBELAGULI,469,19,Hassan,KARNATAKA,05559,5559,Hole Narsipur,616810,616810,Chikknahalli,
3591,195,Belur,5849,BELUR,574,539,HASSAN,218302,GONISOMENAHALLI,469,19,Hassan,KARNATAKA,05554,5554,Belur,615286,615286,Gonisomenahalli,
3596,193,Shravanabelagola,5850,CHANNARAYAPATNA,574,539,HASSAN,218339,DIDAGA,469,19,Hassan,KARNATAKA,05560,5560,Channarayapatna,617316,617316,Didaga,
3565,109,Channagiri,5820,CHANNAGIRI,567,535,DAVANGERE,217415,GOPPENAHALLI,466,6,Davanagere,KARNATAKA,05514,5514,Channagiri,607098,607098,Goppenahalli,
3647,117,Sagar,5900,SAGAR,568,547,SHIVAMOGGA,219909,BHIMANAKONE,476,21,Shivamogga,KARNATAKA,05515,5515,Sagar,607198,607198,Yalagalale,
3589,198,Arkalgud,5847,ARKALGUD,574,539,HASSAN,218232,KATTEPURA,469,19,Hassan,KARNATAKA,05558,5558,Arkalgud,616536,616536,Yadiyuru,
